"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
,"Swedish","Auktoriserad sökingång","Den föredragna kontrollerade sökingången för en entitet, fastställd och utformad enligt gällande regler eller standarder.",,"Auktoriserad namnform [RT], Föredraget namn [RT], Kontrollerad sökingång [ÖT], Sökingång [ÖT], Variantform av namn [RT]",,20090813
,"Thai","จุดเข้าถึงที่กำหนดให้ใช้ได้","จุดเข้าถึงควบคุมสำหรับเอนทิตีที่ให้ความสำคัญและ
	ถูกสร้างขึ้นตามกฎเกณฑ์และมาตรฐาน
",,"จุดเข้าถึง [BT], รูปแบบชื่อที่กำหนดให้ใช้ได้ [RT], จุดเข้าถึงควบคุม [BT], ชื่อที่ให้ความสำคัญ [RT], รูปแบบชื่ออื่น ๆ [RT]",,20090805
,"Vietnamese","Điểm truy cập được phép","Điểm truy cập có kiểm soát và được ưu tiên đến một thực thể, được hình thành và xây dựng dựa trên qui tắc và tiêu chuẩn.",,"Điểm truy cập [Thuật ngữ rộng], Hình thức được phép của tên [Thuật ngữ hẹp], Điểm truy cập kiểm soát [Thuật ngữ rộng], Tên ưu tiên [Thuật ngữ hẹp], Dạng biến thể của tên [Thuật ngữ liên quan]",,20090813
,,,,,,,
,"English","Authorized form of name","The form of name chosen as the authorized access point for an entity.",,"Authorized access point [RT], Conventional name [RT], Name [BT], Preferred name [RT], Variant form of name [RT]",,20090805
,"Albanian","Formë e autorizuar e emrit","Forma e emrit e zgjedhur si pikë hyrëse e autorizuar (e njësuar) për një entitet.",,"Emër [BT], Emër i preferuar [RT], Emër konvencional [RT], Pikë hyrëse e autorizuar [RT], Variant i formës së emrit [RT]",,20090811
,"Arabic","الشكل المقنن للاسم","هو شكل الاسم الذي تم اختياره كنقطة وصول مقننة للكيان. ",,"نقطة الوصول المقننة [RT]، الاسم الشائع أو الاصطلاحي [RT]، الاسم  [BT]، الاسم المفضل  [RT]، الشكل المختلف للاسم  [RT]",,20090805
,"Bulgarian","Установена форма на име (наименование)","Формата на името (наименованието), избрана за установена точка за достъп за определен обект.",,"Установена точка за достъп [А], Общоприето име (наименование) [А], Име (наименование) [ВТ], Предпочетено име (наименование) [А], Вариантна форма на име (наименование) [А]",,20100809
,"Catalan","Forma autoritzada del nom","Forma del nom triada com a punt d’accés autoritzat d’una entitat.",,"Forma variant del nom [TR], Nom [TG], Nom convencional [TR], Nom preferit [TR], Punt d’accés autoritzat [TR]",,20100809
,"Chinese","名称的规范形式","选为实体规范检索点的名称形式。",,"规范检索点 [RT]，惯用名称 [RT]，名称 [BT]，首选名称（名称的变异形式[RT]
",,20090805
,"Croatian","Usvojeni oblik imena","Oblik imena odabran za usvojenu pristupnicu entitetu.",,"Ime [ŠP], Izabrano ime [SP], Neusvojeni oblik imena [SP], Uobičajeno ime [SP], Usvojena pristupnica [SP]",,20090812
,"Czech","Autorizovaná forma jména","forma jména zvolená za autorizovaný selekční údaj pro entitu.",,"Autorizovaný selekční údaj [RT], Konvenční jméno [RT], Jméno [BT], Preferované jméno [RT], Variantní forma jména [RT]",,20090812
,"Finnish","Auktorisoitu nimimuoto","Nimimuoto, joka on valittu entiteetin auktorisoiduksi hakutiedoksi.",,"Auktorisoitu hakutieto [RT], Vakiintunut nimi [RT], Nimi [LT],  Ensisijainen nimi [RT], Nimen varianttimuoto [RT]",,20100809
,"French","Forme autorisée d'un nom","La forme du nom choisie comme point d'accès autorisé pour une entité. ",,"Nom [TG], Nom conventionnel [TA], Nom privilégié [TA], Point d'accès autorisé [TA], Variante de forme d'un nom [TA]",,20090805
,"German","Ansetzungsform des Namens","Die Namensform, die als Ansetzungsform des Sucheinstiegs für eine Entität gewählt wird.",,"Ansetzungsform des Sucheinstiegs [VB], Bevorzugter Name [VB], Gebräuchlicher Name [VB], Name [OB], Abweichende Form des Namens [VB]",,20090812
,"Italian","Forma autorizzata del nome","Forma del nome scelta come punto di accesso autorizzato per una entità.",,"Punto di accesso autorizzato [RT], Nome convenzionale [RT], Nome [ BT] Nome preferito [RT], Forma variante del nome [RT]",,20090812
,"Japanese","名称の典拠形","実体に対する典拠形アクセスポイントとして選定された名称の形。",,"慣用名［RT］、典拠形アクセスポイント［RT］、名称［BT］、名称の異なる形［RT］、優先される名称［RT］　",,20090805
,"Korean","전거형 이름","개체의 전거형 접근점으로 선정된 이름의 형식",,"전거형 접근점 (Authorized access point) [RT], 관용명 (Conventional name) [RT], 이름(Name) [BT], 채택된 이름 (Preferred name) [RT], 이형의 이름 (Variant form of name) [RT]도 보라",,20090805
,"Latvian","Personvārda/nosaukuma autorizētā forma","entītijas autorizētā piekļuves punkta (personvārda/nosaukuma) forma.",,"Autorizētais piekļuves punkts [ST], Vispārpieņemtais personvārds/nosaukums [ST], Personvārds/nosaukums [PT], Prioritārais personvārds/nosaukums [ST], Atšķirīgais personvārds/nosaukums [ST]",,20090813
,"Lithuanian","Aprobuota vardo forma","vardo forma, pasirinkta kaip aprobuotas kreipties elementas entitetui.",,"Aprobuotas kreipties elementas [SJT], Prioritetinis vardas [SJT], Sutartinis
vardas [SJT], Vardas [PT], Vardo formos variantas [SJT]",,20100809
,"Polish","Ujednolicona forma nazwy","forma nazwy wybrana jako
ujednolicony punkt dostępu do jednostki.",,"Ujednolicony punkt dostępu [TZ], Nazwa zwyczajowa [TZ], Nazwa [TS],
Przyjęta nazwa [TZ], Wariant formy nazwy [TZ]",,20100809
,"Portuguese","Forma autorizada de nome","Forma de nome escolhida como ponto de acesso autorizado para uma entidade.",,"Forma variante de nome [TR], Nome [TG], Nome convencional [TR], Nome preferido [TR], Ponto de acesso autorizado [TR]",,20090812
,"Russian","Авторитетная форма имени (наименования)  ","форма имени (наименования), выбранная в качестве авторитетной точки доступа для объекта.",,"Авторитетная точка доступа [СТ],  Вариантная      форма     имени      (наименования) [СТ],  Имя (наименование) [БШТ], 
Общепринятое имя (наименование) [СТ], Предпочтительное   имя (наименование) [СТ]
",,20090805
,"Slovak","Autorizovaná forma mena","forma mena zvolená za autorizovaný selekčný údaj pre entitu. 
",,"Autorizovaný selekčný údaj [RT], Konvenčné meno [RT], Meno [BT], Preferované meno [RT], Variantná forma mena [RT]",,20090805
,"Slovene","Normativna oblika imena","oblika imena, ki jo izberemo kot normativno vstopno točko do entitete.",,"Ime (ŠP), Izbrano ime (SP), Konvencionalno ime (SP), Normativna vstopna točka (SP), Variantna oblika imena (SP)",,20090813
,"Spanish","Forma autorizada del nombre","La forma del nombre elegida como punto de acceso autorizado para la entidad.",,"Punto de acceso autorizado [TR], Nombre convencional [TR], Nombre [TG], Forma variante del nombre [TR]",,20090805
,"Swedish","Auktoriserad namnform","Den namnform som valts som auktoriserad sökingång för entiteten.",,"Auktoriserad sökingång [RT], Föredraget namn [RT], Konventionellt namn [RT], Namn [ÖT], Variantform av namn [RT]",,20090813
,"Thai","รูปแบบชื่อที่กำหนดให้ใช้ได้","รูปแบบชื่อที่ถูกเลือกให้เป็นจุดเข้าถึงที่กำหนดให้
	ใช้ได้ของเอนทิตี",,"จุดเข้าถึงที่กำหนดให้ใช้ได้  RT], ชื่อที่เป็นที่นิยม [RT], ชื่อ [BT], ชื่อที่ให้ความสำคัญ [RT], รูปแบบชื่ออื่น ๆ [RT]",,20090805
,"Vietnamese","Hình thức được phép của tên","Hình thức của tên được lựa chọn là điểm truy cập được phép đến một thực thể.",,"Điểm truy cập được phép [Thuật ngữ liên quan], Tên thường [Thuật ngữ liên quan], Tên [Thuật ngữ rộng], Tên ưu tiên [Thuật ngữ liên quan], Dạng biến thể của tên [Thuật ngữ liên quan]",,20090813
,,,,,,,
,"Latvian","Autors",,"Radītājs",,,20090813
,,,,,,,
,"English","Bibliographic description","A set of bibliographic data identifying a bibliographic resource.",,"Descriptive cataloguing [RT]","ISBD modified",20090805
,"Albanian","Përshkrim bibliografik","Grup të dhënash bibliografike që identifikojnë një burim bibliografik.",,"Katalogimi përshkrues [RT]","ISBD e modifikuar",20090811
,"Arabic","الوصف الببليوغرافي","مجموعة من البيانات الببليوغرافية تحدد مصدر ببليوغرافي.",,"الفهرسة الوصفية [RT]",,20090805
,"Bulgarian","Библиографско описание","Съвкупност от библиографски данни, които идентифицират библиографските ресурс.",,"Описателна каталогизация [А]","ISBD с изменения",20100809
,"Catalan","Descripció bibliogràfica","Conjunt de dades bibliogràfiques que identifica un recurs bibliogràfic.",,"Catalogació descriptiva [TR]","ISBD modificat",20100809
,"Chinese","书目著录","识别某一书目资源的一组书目数据。
                                                         ",,"描述性编目 [RT]","ISBD经修改",20090805
,"Croatian","Bibliografski opis","Skup bibliografskih podataka koji identificiraju bibliografsku jedinicu.",,"Deskriptivna katalogizacija [SP]","ISBD, prerađeno",20090812
,"Czech","Bibliografický popis","soubor bibliografických údajů identifikujících bibliografický zdroj.",,"Popisná katalogizace [RT]","modifikace ISBD",20090812
,"Finnish","Bibliografinen kuvailu","Joukko bibliografisia tietoja, joiden avulla bibliografinen resurssi tunnistetaan.",,"Kuvaileva luettelointi [RT]","ISBD muunnos",20100809
,"French","Description bibliographique","Ensemble de données bibliographiques qui identifie une ressource bibliographique.",,"Catalogage descriptif [TA]","ISBD modifiée",20090805
,"German","Bibliografische Beschreibung","Ein Set bibliografischer Daten, das eine bibliografische Ressource identifiziert.",,"Formalerschließung [VB]","modifiziert nach ISBD",20090812
,"Italian","Descrizione bibliografica","Insieme di dati bibliografici che identificano una risorsa bibliografica.",,"Catalogazione descrittiva [RT]","ISBD modificato",20090812
,"Japanese","書誌記述","ある書誌的資源を識別する一群の書誌データ。",,"記述目録作業［RT］　","ISBDより修正",20090805
,"Korean","서지기술","서지자원을 식별하는 일련의 서지데이터 [출처: ISBD의 것을 수정]",,"기술목록법 (Descriptive cataloguing) [RT]도 보라","ISBD의 것을 수정",20090805
,"Latvian","Bibliogrāfiskais apraksts","bibliogrāfisko datu kopums bibliogrāfiskā resursa identificēšanai.",,"Aprakstošā kataloģizācija [ST]","modificētais ISBD",20090813
,"Lithuanian","Bibliografinis aprašas","bibliografinių duomenų, identifikuojančių
bibliografinį išteklių, rinkinys.",,"Aprašomasis katalogavimas [SJT]","pakeista ISBD",20100809
,"Polish","Opis bibliograficzny","zbiór danych bibliograficznych
identyfikujących zasób bibliograficzny.",,"Katalogowanie formalne [TZ]","ISBD zmodyfikowane",20100809
,"Portuguese","Descrição bibliográfica","Conjunto de dados bibliográficos que identificam um recurso bibliográfico.",,"Catalogação descritiva [TR]","ISBD",20090812
,"Russian","Библиографическое описание ","совокупность библиографических данных, идентифицирующих библиографический ресурс.",,,,20090805
,"Slovak","Bibliografický popis","súbor bibliografických údajov identifikujúcich bibliografický zdroj.",,"Popisná katalogizácia [RT]","modifikácia ISBD",20090805
,"Slovene","Bibliografski opis","zbir bibliografskih podatkov, ki identificirajo bibliografski vir.",,"Opisna katalogizacija (SP)","prirejeno po ISBD",20090813
,"Spanish","Descripción bibliográfica","Conjunto de información bibliográfica que identifica un recurso bibliográfico.",,"Catalogación descriptiva [TR]","ISBD modificado",20090805
,"Swedish","Bibliografisk beskrivning","En uppsättning bibliografiska data som identifierar en bibliografisk resurs.",,"Deskriptiv katalogisering [RT]","modifierat från ISBD",20090813
,"Thai","รายละเอียดทางบรรณานุกรม","ชุดข้อมูลบรรณานุกรมที่ระบุทรัพยากรทาง บรรณานุกรม",,,"ISBD ฉบับปรับปรุง",20090805
,"Vietnamese","Mô tả thư mục","Tập hợp dữ liệu thư mục xác định nguồn thư mục.",,"Mục lục mô tả [Thuật ngữ liên quan]","ISBD chỉnh sửa",20090813
,,,,,,,
,"English","Bibliographic record","A set of data elements that describes and provides access to a bibliographic resource and identifies related works and expressions.",,,"IME ICC",20090805
,"Albanian","Regjistrim bibliografik","Grup me elemente të dhënash që përshkruajnë dhe sigurojnë akces në një burim bibliografik, dhe identifikojnë veprat dhe shprehjet që lidhen me të.",,,,20090812
,"Arabic","التسجيلة الببليوغرافية","مجموعة من عناصر البيانات التي تصف وتتيح الوصول إلى المصدر الببليوغرافي وتحدد الأعمال والتعبيرات ذات العلاقة.",,,,20090805
,"Bulgarian","Библиографски запис","Съвкупността от елементи от данни, която описва и осигурява достъп до библиографски ресурс и идентифицира свързани произведения и форми на проявление.",,,,20100809
,"Catalan","Registre bibliogràfic","Conjunt d’elements de dades que descriu i proporciona accés a un recurs bibliogràfic i identifica les obres i expressions relacionades.",,,,20100809
,"Chinese","书目记录","描述和检索某一书目资源以及识别相关作品和内容表达的一组数据单元。",,,"IME ICC",20090805
,"Croatian","Bibliografski zapis","Skup podatkovnih elemenata koji opisuju i osiguravaju pristup bibliografskoj jedinici i identificiraju srodna djela i izraze.",,,,20090812
,"Czech","Bibliografický záznam","soubor datových prvků, který popisuje bibliografický zdroj, poskytuje k němu přístup a identifikuje související díla a vyjádření.",,,,20090812
,"Finnish","Bibliografinen tietue","Joukko tietoelementtejä, joiden avulla bibliografinen resurssi kuvaillaan ja löydetään sekä resurssiin liittyvät teokset ja ekspressiot tunnistetaan.",,,,20100809
,"French","Notice bibliographique","Ensemble des éléments de données qui décrit et donne accès à une ressource bibliographique, et qui identifie les œuvres et les expressions associées.",,,,20090805
,"German","Bibliografischer Datensatz","Ein Set von Datenelementen, das eine bibliografische Ressource beschreibt und den Zugriff darauf bietet, sowie mit dieser verwandte Werke und Expressionen identifiziert.",,,,20090812
,"Italian","Registrazione bibliografica","Insieme di dati che descrive e fornisce accesso a una risorsa bibliografica e identifica opere ed espressioni ad essa correlate.",,,,20090812
,"Japanese","書誌レコード","書誌的資源の記述および書誌的資源へのアクセス提供を行い、また関連する著作および表現形を識別する一群のデータ要素。　　",,,,20090805
,"Korean","서지레코드","서지 자원을 기술하고 접근하기 위한 데이터 요소의 집합으로서 관련 저작과 표현형을 식별한다.",,,,20090805
,"Latvian","Bibliogrāfiskais ieraksts","datu elementu kopums, kas apraksta bibliogrāfisko resursu un nodrošina tam piekļuvi, kā arī identificē radniecīgos darbus un izteiksmes.",,,,20090813
,"Lithuanian","Bibliografinis įrašas","duomenų elementų rinkinys, kuris aprašo bibliografinį išteklių, suteikia prieigą prie jo ir identifikuoja susijusius kūrinius ir išraiškas.",,,,20100809
,"Polish","Rekord bibliograficzny","zbiór elementów danych, który opisuje I zapewnia dostęp do zasobu bibliograficznego, oraz identyfikuje związane z nim dzieła i realizacje.",,,,20100809
,"Portuguese","Registo bibliográfico","Conjunto de elementos de dados que descreve e dá acesso a um recurso bibliográfico e identifica obras e expressões relacionadas.",,,,20090812
,"Russian","Библиографическая запись","совокупность элементов данных для описания и обеспечения доступа к библиографическому ресурсу и идентификации связанных произведений и выражений.",,,,20090805
,"Slovak","Bibliografický záznam","súbor údajových prvkov, ktorý popisuje bibliografický zdroj, poskytuje k nemu prístup a identifikuje súvisiace diela a vyjadrenia.",,,,20090805
,"Slovene","Bibliografski zapis","zbir podatkov, ki opisujejo bibliografski vir in omogočajo dostop do njega ter identificirajo sorodna dela in izrazne oblike.",,,,20090813
,"Spanish","Registro bibliográfico","Un conjunto de elementos de información que describe y proporciona acceso a un recurso bibliográfico e identifica las obras relacionadas y las expresiones.",,,,20090805
,"Swedish","Bibliografisk post","En uppsättning dataelement som beskriver och ger tillgång till en bibliografisk resurs samt identifierar relaterade verk och uttryck.",,,,20090813
,"Thai","รายการบรรณานุกรม","ชุดองค์ประกอบข้อมูลที่บรรยายและเชื่อมโยงการเข้าถึงทรัพยากรทางบรรณานุกรมและระบุงานและรูปแบบการนำเสนอที่เกี่ยวข้อง",,,,20090805
,"Vietnamese","Biểu ghi thư mục","Tập hợp các yếu tố dữ liệu mô tả và cung cấp truy cập tới nguồn thư mục và xác định tác phẩm hay biểu ngữ.",,,,20090813
,,,,,,,
,"English","Bibliographic resource","An entity within the realm of library and similar collections consisting of the products of intellectual or artistic endeavour.  Bibliographic resources in the FRBR model are the Group 1 entities: work, expression, manifestation, and item.",,,"IME ICC",20090805
,"Albanian","Burim bibliografik","Entitet në sferën bibliotekare ose në koleksione të ngjashme që është produkt i përpjekjeve intelektuale ose artistike. Burimet bibliografike janë entitetet e Grupit 1 në modelin FRBR: vepra, shprehja, manifestimi dhe njësia.",,,,20090811
,"Arabic","المصدر الببليوغرافي","هو كيان متداخل ضمن عالم المكتبات والمجموعات المماثلة، ويشمل منتجات الإبداعات الفكرية والفنية. والمصادر الببليوغرافية في نموذج FRBR هي كيانات المجموعة الأولى: العمل، التعبير، الإظهار والوعاء.",,,,20090805
,"Bulgarian","Библиографски ресурс","Обект от областта на библиотечните и подобните на тях колекции, която се състои от продуктите на интелектуално или художествено творчество. Във FRBR библиографските ресурси са обектите от Група 1: произведение, форма на проявление, форма на физическо представяне и физическа единица.",,,,20100809
,"Catalan","Recurs bibliogràfic","Entitat de l’àmbit de les biblioteques i col·leccions similars formada per productes de l’activitat intel·lectual o artística. En el model FRBR, els recursos bibliogràfics són les entitats del Grup 1: obra, expressió, manifestació i ítem.",,,,20100809
,"Chinese","书目资源","在图书馆以及由知识或艺术创作的产品所组成的类似收藏领域中的一个实体。在FRBR模型中的书目资源是第1组实体：作品、内容表达、载体表现和单件。
",,,"IME ICC",20090805
,"Croatian","Bibliografska jedinica","Entitet unutar područja knjižničnih i sličnih zbirki koje sadrže proizvode intelektualnog ili umjetničkog dostignuća. Bibliografsku jedinicu u modelu FRBR čine entiteti prve skupine: djelo, izraz, pojavni oblik i jedinica građe.",,,,20090812
,"Czech","Bibliografický zdroj","entita v rámci sféry knihovních a podobných sbírek sestávající z výsledků intelektuálního či uměleckého úsilí. Bibliografické zdroje v modelu FRBR jsou entity Skupiny 1: dílo, vyjádření, provedení a jednotka.",,,,20090812
,"Finnish","Bibliografinen resurssi","Kirjasto-ja vastaaviin muihin kokoelmiin kuuluva entiteetti, joka on tiedollisen tai taiteellisen toiminnan tulos. FRBR-mallissa bibliografisia resursseja ovat entiteetit: teos, ekspressio, manifestaatio ja kappale.",,,,20100809
,"French","Ressource bibliographique","Entité constituée par les produits d'une entreprise intellectuelle ou artistique, aussi bien dans le domaine des bibliothèques que dans celui de collections similaires. Dans le modèle FRBR, les ressources bibliographiques sont les entités du Groupe 1 : œuvre, expression, manifestation, et item.",,,,20090805
,"German","Bibliografische Ressource","Eine Entität im Bereich von Bibliotheksbeständen und ähnlichen Sammlungen, die aus den Produkten von intellektuellen oder künstlerischen Bemühungen besteht. Bibliografische Ressourcen im FRBR-Modell sind die Entitäten der Gruppe 1: Werk, Expression, Manifestation und Exemplar.",,,,20090812
,"Italian","Risorsa bibliografica","Un’entità nell’ambito della biblioteca e di raccolte analoghe che consiste di prodotti dell’attività intellettuale o artistica. Nel modello FRBR le risorse bibliografiche sono le entità del I Gruppo: opera, espressione, manifestazione ed esemplare.",,,,20090812
,"Japanese","書誌的資源","知的・芸術的活動の成果から成る、図書館領域および類似領域のコレクションの中の実体。FRBRモデルにおける書誌的資源は、グループ1の実体である著作、表現形、体現形および個別資料である。　　",,,,20090805
,"Korean","서지자원","지적 혹은 예술적 노력의 산물로 구성된 도서관 및 유사한 집서에서의 개체. FRBR 모형에서 서지자원은 그룹1의 개체로 저작, 표현형, 구현형, 개별자료이다.",,,,20090805
,"Latvian","Bibliogrāfiskais resurss","bibliotēku vai tamlīdzīgos krājumos esoša entītija, kas ietver intelektuāla vai mākslinieciska darba augļus. Atbilstoši FRBR modelim 1. grupas entītijas ir: darbs, izteiksme, manifestācija un vienība.",,,,20090813
,"Lithuanian","Bibliografinis išteklius","bibliotekų ir panašių rinkinių entitetas, susidedantis iš intelektinės ar meninės kūrybos produktų. Bibliografiniai ištekliai FRBR modelyje yra 1-osios grupės entitetai: kūrinys, išraiška, apraiška ir vienetas.",,,,20100809
,"Polish","Zasób bibliograficzny","jednostka w sferze zbiorów biblioteki lub podobnych zbiorów, składających się z wytworów działalności intelektualnej lub
artystycznej. Zasoby bibliograficzne w modelu FRBR stanowią grupę 1 jednostek: dzieło, realizacja, materializacja i egzemplarz.",,,,20100809
,"Portuguese","Recurso bibliográfico","Entidade do âmbito das coleções bibliográficas e similares consistindo em produtos de caráter intelectual ou artístico. Os recursos bibliográficos constituem, no modelo FRBR, as entidades do grupo 1: obra, expressão, manifestação e item.",,,,20090812
,"Russian","Библиографический ресурс ","объект в сфере библиотечных или подобных коллекций, состоящий из продукта интеллектуального или художественного творчества. Библиографические ресурсы в модели FRBR – это объекты 1-й группы: произведение, выражение, воплощение и физическая единица.",,,,20090805
,"Slovak","Bibliografický zdroj","entita v rámci sféry knižničných a podobných zbierok
pozostávajúca z výsledkov intelektuálneho alebo umeleckého úsilia. Bibliografické zdroje v modeli FRBR sú entity Skupiny 1: dielo, vyjadrenie, prezentácia a jednotka.",,,,20090805
,"Slovene","Bibliografski vir","entiteta znotraj knjižnice ali podobne zbirke del, ki je rezultat intelektualnih ali umetniških prizadevanj. Bibliografski viri v okviru modela FRBR so entitete 1. skupine: delo, izrazna oblika, pojavna oblika in enota.",,,,20090813
,"Spanish","Recurso bibliográfico","Una entidad, dentro del ámbito de bibliotecas o colecciones similares,  que consta del producto del esfuerzo intelectual o artístico.  En el modelo FRBR, los recursos bibliográficos son las entidades del Grupo 1:obra, expresión, manifestación y ejemplar.",,,,20090805
,"Swedish","Bibliografisk resurs","En entitet inom biblioteksvärlden och liknande samlingar. Bibliografiska resurser består av produkter av intellektuellt eller konstnärligt skapande. I FRBR-modellen utgör dessa resurser entiteterna i grupp 1: verk, uttryck, manifestation och exemplar.",,,,20090813
,"Thai","ทรัพยากรทางบรรณานุกรม","เอนทิตีที่อยู่ภายในขอบเขตของห้องสมุดและ
คอลเลกชั่นที่คล้ายกัน ประกอบไปด้วยผลงานอันเกิดจากความพยายามในเชิงสติปัญญาและศิลปะ ทรัพยากรทางบรรณานุกรมในแบบจำลอง FRBR คือ เอนทิตีในกลุ่มที่ 1 ได้แก่ งาน รูปแบบการนำเสนอ รูปแบบการเผยแพร่ และหน่วยรายการ",,,,20090805
,"Vietnamese","Nguồn thư mục","Một thực thể trong lĩnh vực thư viện và những bộ sưu tập tương tự bao gồm các sản phẩm trí tuệ hay sáng tạo nghệ thuật. Nguồn thư mục theo mô hình FRBR bao gồm những thực thể nhóm 1 như: tác phẩm, biểu ngữ, cách biểu thị và ấn phẩm.",,,,20090813
,,,,,,,
,"English","Bibliographic universe","The realm related to the collections of libraries, archives, museums, and other information communities.",,,"IME ICC",20090805
,"Albanian","Univers bibliografik","Fushë që përfshin koleksionet e bibliotekave, arkivave, muzeve dhe të bashkësive të tjera të informacionit.",,,,20090812
,"Arabic","العالم الببليوغرافي","هو العالم المتعلق بمجموعات المكتبات، الأرشيفات، المتاحف وجمعيات المعلومات الأخرى.",,,,20090805
,"Bulgarian","Библиографски универсум","Сфера, която обхваща колекциите на библиотеки, архиви, музеи и други информационни общности.",,,,20100809
,"Catalan","Univers bibliogràfic","Àmbit relatiu a les col·leccions de biblioteques, d’arxius, de museus, i d’altres comunitats de l’entorn de la informació.",,,,20100809
,"Chinese","书目世界","与图书馆、档案馆、博物馆以及其它信息机构的收藏相关的领域。 
",,,"IME ICC",20090805
,"Croatian","Bibliografski univerzum","Područje koje se odnosi na zbirke knjižnica, arhiva, muzeja i drugih informacijskih zajednica.",,,,20090812
,"Czech","Bibliografické univerzum","sféra vztahující se ke sbírkám knihoven, archivů, muzeí a dalších informačních komunit.",,,,20090812
,"Finnish","Bibliografinen universumi","Kirjastojen, arkistojen, museoiden ja muiden informaatioyhteisöjen kokoelmiin liittyvät kohteet.",,,,20100809
,"French","Univers bibliographique","Domaine relatif aux collections de bibliothèques, archives, musées et autres communautés du monde de l'information.",,,,20090805
,"German","Bibliografisches Universum","Der Bereich, der sich auf die Bestände von Bibliotheken, Archiven, Museen und anderen Informationscommunitys bezieht.",,,,20090812
,"Italian","Universo bibliografico","Il regno relativo alle raccolte delle biblioteche, degli archivi, dei musei e delle altre comunità dell’informazione.",,,,20090812
,"Japanese","書誌的宇宙","図書館、文書館、博物館・美術館およびその他の情報コミュニティのコレクションに関連する領域。　　",,,,20090805
,"Korean","서지 세계","도서관, 박물관, 기타 정보 커뮤니티의 집서와 관련된 세계",,,,20090805
,"Latvian","Bibliogrāfiskais visums","joma, kas attiecas uz bibliotēku, arhīvu, muzeju un citu informācijas kopienu krājumiem.",,,,20090813
,"Lithuanian","Bibliografinis universumas","sritis, jungianti bibliotekų, archyvų, muziejų ir kitų informacinių bendruomenių rinkinius.",,,,20100809
,"Polish","Przestrzeń bibliograficzna","sfera związana ze zbiorami bibliotek, archiwów, muzeów i innych społeczności o charakterze informacyjnym.",,,,20100809
,"Portuguese","Universo bibliográfico","Domínio das coleções de bibliotecas, arquivos, museus e outras comunidades de informação.",,,,20090812
,"Russian","Библиографический универсум ","сфера,  объединяющая коллекции библиотек, архивов, музеев и других          информационных сообществ.",,,,20090805
,"Slovak","Bibliografické univerzum","sféra vzťahujúca sa ku zbierkam knižníc, archívov, múzeí a ďalších informačných komunít.",,,,20090805
,"Slovene","Bibliografski okvir","področje, ki obsega zbirke knjižnic, arhivov, muzejev in drugih informacijskih skupnosti.",,,,20090813
,"Spanish","Universo bibliográfico","El ámbito relacionado con las colecciones de las bibliotecas, archivos, museos y otras comunidades de información.",,,,20090805
,"Swedish","Bibliografisk värld","De företeelser som är kopplade till samlingar på bibliotek, arkiv, museer och andra informationsverksamheter.",,,,20090813
,"Thai","โลกบรรณานุกรม","ขอบเขตที่เกี่ยวข้องกับคอลเลกชั่นของห้องสมุด หอจดหมายเหตุ 
	พิพิธภัณฑ์และชุมชนสารสนเทศอื่น ๆ",,,,20090805
,"Vietnamese","Tổ hợp thư mục","Lĩnh vực liên quan đến những bộ sưu tập của thư viện, trung tâm lưu trữ, bảo tàng và cộng đồng thông tin khác.",,,,20090813
,,,,,,,
,"English","Bibliographically significant","A quality of an entity or attribute or relationship that has special meaning or value in the context of bibliographic resources.",,,"IME ICC",20090805
,"Albanian","Bibliografikisht i rëndësishëm","Cilësi e një entiteti, atributi ose lidhjeje që ka kuptim ose vlerë të veçantë në kontekstin e burimeve bibliografike.",,,,20090811
,"Arabic","الأهمية الببليوغرافية","هي ميزة لكيان أو حقل أو علاقة تحمل معنى خاص أو قيمة في سياق المصادر الببليوغرافية.",,,,20090805
,"Bulgarian","Библиографски значим(а)","Свойство на обект, атрибут или връзка, което има особено значение или стойност в контекста на библиографските ресурси.",,,,20100809
,"Catalan","Significatiu bibliogràficament","Qualitat d’una entitat, un atribut o una relació que té un significat o un valor especial en el context dels recursos bibliogràfics.",,,,20100809
,"Chinese","具有目录学意义的","实体、属性或关系的一种性质，在书目资源的环境中具有特别含义或赋值。
",,,"IME ICC",20090805
,"Croatian","Bibliografski značajan","Svojstvo entiteta ili atributa ili odnosa koje ima posebno značenje ili vrijednost u kontekstu bibliografske jedinice.",,,,20090812
,"Czech","Bibliograficky významný","kvalita entity či atributu nebo vztahu, která má speciální význam či hodnotu v kontextu bibliografického zdroje.",,,,20090812
,"Finnish","Bibliografisesti merkittävä","Entiteetin tai attribuutin tai suhteen ominaisuus, jolla on erityinen merkitys tai arvo bibliografisten resurssien yhteydessä.",,,,20100809
,"French","Significatif du point de vue bibliographique","Qualité d'une entité, d'un attribut ou d'une relation qui a un sens ou un intérêt particulier dans le contexte des ressources bibliographiques.",,,,20090805
,"German","Bibliografisch relevant","Eine Qualität einer Entität oder ein Merkmal oder eine Beziehung, die im Kontext bibliografischer Ressourcen eine bestimmte Bedeutung oder einen bestimmten Wert hat.",,,,20090812
,"Italian","Bibliograficamente significativo","Qualità di un’entità o attributo o relazione che assume un senso o valore speciale nel contesto delle risorse bibliografiche.",,,,20090812
,"Japanese","書誌的有意性","書誌的資源において、特別の意味もしくは価値を有する実体または属性または関連の質。　　",,,,20090805
